iter	Passed	Remaining
0	54	48056
1	56	24779
2	57	16859
3	58	12837
4	59	10432
5	60	8809
6	61	7641
7	62	6775
8	63	6091
9	64	5552
10	64	5109
11	65	4739
12	66	4420
13	67	4145
14	68	3908
15	68	3700
16	69	3517
17	71	3387
18	71	3240
19	72	3106
20	73	2985
21	74	2876
22	74	2776
23	75	2682
24	76	2597
25	77	2519
26	77	2446
27	78	2373
28	79	2311
29	80	2272
30	81	2216
31	81	2160
32	82	2107
33	83	2062
34	84	2020
35	84	1978
36	85	1939
37	86	1900
38	86	1865
39	87	1832
40	88	1800
41	89	1770
42	89	1741
43	90	1714
44	91	1687
45	92	1661
46	92	1636
47	93	1614
48	94	1592
49	95	1570
50	95	1549
51	96	1530
52	97	1511
53	98	1493
54	98	1477
55	99	1459
56	100	1443
57	101	1428
58	102	1413
59	102	1398
60	103	1383
61	104	1369
62	105	1355
63	105	1341
64	106	1328
65	107	1315
66	107	1303
67	108	1292
68	109	1280
69	110	1269
70	110	1256
71	111	1245
72	112	1235
73	113	1224
74	113	1215
75	114	1205
76	115	1195
77	116	1186
78	116	1177
79	117	1169
80	118	1160
81	118	1151
82	119	1143
83	120	1135
84	121	1127
85	121	1119
86	122	1111
87	123	1104
88	124	1096
89	124	1089
90	125	1082
91	126	1074
92	126	1068
93	127	1061
94	128	1055
95	129	1048
96	129	1042
97	130	1036
98	131	1030
99	132	1024
100	132	1018
101	133	1012
102	134	1006
103	134	1000
104	135	995
105	136	989
106	136	983
107	137	977
108	138	971
109	138	965
110	139	959
111	139	953
112	140	948
113	140	942
114	141	936
115	142	931
116	142	925
117	143	920
118	143	914
119	144	909
120	145	905
121	145	900
122	146	897
123	147	893
124	148	889
125	148	885
126	149	882
127	150	878
128	151	874
129	151	871
130	152	867
131	153	863
132	153	860
133	154	856
134	155	852
135	156	849
136	156	846
137	157	842
138	158	839
139	158	835
140	159	832
141	160	829
142	161	826
143	161	823
144	162	819
145	163	816
146	163	813
147	164	810
148	165	807
149	166	803
150	166	801
151	167	798
152	168	795
153	169	792
154	169	789
155	170	787
156	171	784
157	172	782
158	172	779
159	173	777
160	174	774
161	175	772
162	175	769
163	176	766
164	177	764
165	178	761
166	178	759
167	179	756
168	180	754
169	181	751
170	181	749
171	182	746
172	182	743
173	183	740
174	184	737
175	184	734
176	185	731
177	185	728
178	186	726
179	187	723
180	187	721
181	188	718
182	189	716
183	190	714
184	190	712
185	191	710
186	192	708
187	192	706
188	193	704
189	195	706
190	196	704
191	197	702
192	197	700
193	198	698
194	199	696
195	200	694
196	200	692
197	201	690
198	202	688
199	203	686
200	203	684
201	204	682
202	205	680
203	207	684
204	208	682
205	209	680
206	209	678
207	210	676
208	211	673
209	211	671
210	212	669
211	212	666
212	213	664
213	214	662
214	214	659
215	215	657
216	215	655
217	216	653
218	217	651
219	217	649
220	218	647
221	219	645
222	219	642
223	220	640
224	220	638
225	221	636
226	221	633
227	222	631
228	222	629
229	223	627
230	223	624
231	224	623
232	225	621
233	225	619
234	226	617
235	232	629
236	232	627
237	233	625
238	233	622
239	234	620
240	234	618
241	235	615
242	235	613
243	236	611
244	236	609
245	236	606
246	237	604
247	237	602
248	238	600
249	239	598
250	239	596
251	240	594
252	240	592
253	241	590
254	241	588
255	242	586
256	242	584
257	243	582
258	243	580
259	244	578
260	244	576
261	245	575
262	245	573
263	246	571
264	246	569
265	247	567
266	247	565
267	248	563
268	248	561
269	249	559
270	249	558
271	250	556
272	251	554
273	251	552
274	252	550
275	252	549
276	253	547
277	253	545
278	254	543
279	254	541
280	255	540
281	255	538
282	256	537
283	257	535
284	257	534
285	258	533
286	259	532
287	260	530
288	260	529
289	261	528
290	261	526
291	262	525
292	263	523
293	263	521
294	264	520
295	264	519
296	265	518
297	266	516
298	266	515
299	267	513
300	267	511
301	268	510
302	268	508
303	269	506
304	270	505
305	270	503
306	271	502
307	271	500
308	272	499
309	272	497
310	273	496
311	273	494
312	274	493
313	274	491
314	275	490
315	275	488
316	276	487
317	276	485
318	277	484
319	278	483
320	278	482
321	279	481
322	280	479
323	280	478
324	281	476
325	281	475
326	282	473
327	282	472
328	283	471
329	283	469
330	284	468
331	285	467
332	285	465
333	286	464
334	286	463
335	287	461
336	287	460
337	288	459
338	288	457
339	289	456
340	290	455
341	290	453
342	291	452
343	291	451
344	292	449
345	292	448
346	293	447
347	293	445
348	294	444
349	294	442
350	295	442
351	296	440
352	296	439
353	297	438
354	297	436
355	298	435
356	298	434
357	299	432
358	299	431
359	300	430
360	300	428
361	301	427
362	301	426
363	302	425
364	302	423
365	303	422
366	303	421
367	304	420
368	304	418
369	305	417
370	305	416
371	306	415
372	307	414
373	307	412
374	308	411
375	308	410
376	309	409
377	309	407
378	310	406
379	310	405
380	311	404
381	311	403
382	312	401
383	313	401
384	313	400
385	314	399
386	315	398
387	315	396
388	316	395
389	316	394
390	317	393
391	317	392
392	318	390
393	318	389
394	319	388
395	319	387
396	320	386
397	320	385
398	321	383
399	321	382
400	322	381
401	322	380
402	323	379
403	323	378
404	324	376
405	324	375
406	325	374
407	325	373
408	325	372
409	326	371
410	326	369
411	327	368
412	327	367
413	328	366
414	328	365
415	329	364
416	329	363
417	330	362
418	330	360
419	331	359
420	331	358
421	332	357
422	332	356
423	333	355
424	333	354
425	334	353
426	334	352
427	335	351
428	335	349
